equipment_id,service_type,labor_cost_inr,material_cost_inr,total_cost_inr,vendor_name,vendor_rating,last_updated,includes_parts,warranty_days
reactor-4,routine_6m,12000,22000,34500,Thermax_Services,A,2026-03-15,Yes,90
reactor-4,major_overhaul,35000,65000,100000,Thermax_Services,A,2025-09-10,Yes,180
compressor-b,routine_12m,10000,17500,27500,Atlas_Copco_India,A,2025-06-20,Yes,90
compressor-b,bearing_replacement,8000,12000,20000,Atlas_Copco_India,A,2025-12-01,Yes,60
pump-a,routine_6m,5000,9800,14800,KSB_India,B,2026-02-10,Yes,60
pump-a,seal_replacement,3000,6000,9000,KSB_India,B,2025-08-05,Yes,30
exchanger-c,routine_12m,18000,24000,42000,HRS_Process_Systems,A,2025-12-01,Yes,90
exchanger-c,tube_bundle_replace,40000,80000,120000,HRS_Process_Systems,A,2023-12-01,Yes,365
separator-d,routine_24m,20000,33000,53000,Descon_Engineering,B,2024-06-15,Yes,120
separator-d,corrosion_treatment,15000,25000,40000,Descon_Engineering,B,2024-06-15,Yes,180
